year,cityid,g_private,reform,reformyear
2013,27,-0.117187,0,2015
2014,27,0.2570283,0,2015
2015,27,0.0532236,1,2015
2016,27,-0.0562805,1,2015
2017,27,-0.2468978,1,2015
2018,27,-0.0283551,1,2015
2004,28,0.0516828,0,2015
2005,28,-0.146927,0,2015
2006,28,-0.0002985,0,2015
2007,28,0.0810058,0,2015
2008,28,-0.2630836,0,2015
2009,28,0.0168892,0,2015
2010,28,0.4323013,0,2015
2011,28,0.0115537,0,2015
2012,28,-0.1995177,0,2015
2013,28,-0.0391099,0,2015
2014,28,-0.1506257,0,2015
2015,28,0.6261865,1,2015
2016,28,0.2131904,1,2015
2017,28,0.1321904,1,2015
2018,28,0.0098039,1,2015
2004,29,0.0453685,0,2014
2005,29,0.1280099,0,2014
2006,29,-0.0195834,0,2014
2007,29,-0.2630836,0,2014
2008,29,0.2667167,0,2014
2009,29,0.0099991,0,2014
2010,29,-0.0590737,0,2014
2011,29,0.1110325,0,2014
2012,29,-0.0679103,0,2014
2013,29,0.1622562,0,2014
2014,29,0.6261865,1,2014
2015,29,-0.2630836,1,2014
2016,29,-0.0080084,1,2014
2017,29,-0.0422766,1,2014
2018,29,0.0539772,1,2014
2004,30,0.0994126,0,2014
2005,30,0.0012076,0,2014
2006,30,0.1370619,0,2014
2007,30,0.0781159,0,2014
2008,30,-0.1955219,0,2014
2009,30,0.6261865,0,2014
2010,30,-0.1853347,0,2014
2011,30,0.0224508,0,2014
2012,30,-0.2630836,0,2014
2013,30,0.1693974,0,2014
2014,30,0.6261865,1,2014
2015,30,0.0768716,1,2014
2016,30,0.0994126,1,2014
2017,30,0.0994126,1,2014
2018,30,0.0994126,1,2014
2004,31,0.0899442,0,2014
2005,31,0.1730942,0,2014
2006,31,-0.0509232,0,2014
2007,31,0.4301746,0,2014
2008,31,0.1227194,0,2014
2009,31,0.253998,0,2014
2010,31,0.0023611,0,2014
2011,31,0.6261865,0,2014
2012,31,-0.2630836,0,2014
2013,31,-0.0226479,0,2014
2014,31,0.3060078,1,2014
2015,31,-0.1248005,1,2014
2016,31,0.02936,1,2014
2017,31,-0.1027563,1,2014
2018,31,-0.1204711,1,2014
2004,32,0.0213384,0,2016
2005,32,0.1215128,0,2016
2006,32,0.0051149,0,2016
2007,32,-0.2630836,0,2016
2008,32,0.1197187,0,2016
2009,32,0.1917666,0,2016
2010,32,0.0900779,0,2016
2011,32,-0.1172997,0,2016
2012,32,0.3746204,0,2016
2013,32,-0.120555,0,2016
2014,32,-0.1027122,0,2016
2015,32,0.0428955,0,2016
2016,32,-0.0619256,1,2016
2017,32,-0.0164264,1,2016
2018,32,0.0350328,1,2016
2004,33,0.0452702,0,2014
2005,33,0.0113785,0,2014
2006,33,0.0366547,0,2014
2007,33,0.0351956,0,2014
2008,33,-0.2630836,0,2014
2009,33,0.1733601,0,2014
2010,33,0.6261865,0,2014
2011,33,-0.0598514,0,2014
2012,33,0.2145741,0,2014
2013,33,-0.2630836,0,2014
2014,33,0.0384788,1,2014
2015,33,0.070364,1,2014
2016,33,0.0588727,1,2014
2017,33,-0.0498031,1,2014
